GT_plane,Matched_solution_plane,score
Plane_16.ts,group_5.ts,0.529042
Plane_11.ts,group_10.ts,0.994818
Plane_5.ts,group_9.ts,0.993731
Plane_4.ts,group_12.ts,0.73201
Plane_18.ts,group_20.ts,0.998819
Plane_15.ts,group_15.ts,0.000148189
Plane_17.ts,group_6.ts,0.827914
Plane_1.ts,group_8.ts,0.981716
Plane_14.ts,group_3.ts,0.995495
Plane_6.ts,group_18.ts,0.992872
Plane_2.ts,group_17.ts,1.48164e-13
Plane_13.ts,group_0.ts,0.958886
Plane_3.ts,group_16.ts,0.990263
Plane_10.ts,group_1.ts,0.967507
Plane_9.ts,group_11.ts,0.99766
Plane_8.ts,group_7.ts,0.996405
Plane_12.ts,group_4.ts,0.99393
Plane_7.ts,group_2.ts,0.526105
OVERALL_SCORE: 0.821752
