GT_plane,Matched_solution_plane,score
Plane_16.ts,group_1.ts,0.99709
Plane_11.ts,group_17.ts,0.998264
Plane_5.ts,group_14.ts,0.996911
Plane_18.ts,group_16.ts,0.324232
Plane_19.ts,group_9.ts,0.991139
Plane_15.ts,group_10.ts,0.987452
Plane_17.ts,group_15.ts,0.990252
Plane_14.ts,group_0.ts,0.998509
Plane_6.ts,group_5.ts,0.960279
Plane_2.ts,group_18.ts,0.998046
Plane_13.ts,group_8.ts,0.89014
Plane_3.ts,group_2.ts,0.995924
Plane_10.ts,group_7.ts,0.994808
Plane_9.ts,group_4.ts,0.994438
Plane_8.ts,group_3.ts,0.40868
Plane_12.ts,group_6.ts,0.989667
Plane_7.ts,group_11.ts,0.966974
OVERALL_SCORE: 0.859861
