GT_plane,Matched_solution_plane,score
Plane_16.ts,group_5.ts,0.961005
Plane_11.ts,group_4.ts,0.25508
Plane_5.ts,group_15.ts,0.97874
Plane_4.ts,group_18.ts,0.990259
Plane_18.ts,group_8.ts,0.997859
Plane_15.ts,group_13.ts,0.979025
Plane_17.ts,group_23.ts,0.997333
Plane_1.ts,group_12.ts,0.99415
Plane_14.ts,group_14.ts,0.996974
Plane_6.ts,group_7.ts,0.973602
Plane_2.ts,group_0.ts,0.179992
Plane_13.ts,group_17.ts,0.991398
Plane_3.ts,group_11.ts,0.99782
Plane_10.ts,group_3.ts,0.996929
Plane_9.ts,group_10.ts,0.996407
Plane_8.ts,group_1.ts,0.997919
Plane_12.ts,group_9.ts,0.992422
Plane_7.ts,group_24.ts,0.999027
OVERALL_SCORE: 0.764553
