GT_plane,Matched_solution_plane,score
Plane_16.ts,group_0.ts,0.99862
Plane_11.ts,group_9.ts,0.0668763
Plane_5.ts,group_11.ts,0.99115
Plane_4.ts,group_17.ts,0.994155
Plane_15.ts,group_21.ts,0.000528399
Plane_1.ts,group_6.ts,0.729456
Plane_14.ts,group_4.ts,0.606829
Plane_6.ts,group_3.ts,0.984499
Plane_2.ts,group_12.ts,0.998003
Plane_13.ts,group_1.ts,0.997848
Plane_3.ts,group_19.ts,0.993683
Plane_10.ts,group_13.ts,0.00292814
Plane_9.ts,group_7.ts,0.213555
Plane_8.ts,group_8.ts,0.200328
Plane_12.ts,group_5.ts,0.994558
Plane_7.ts,group_2.ts,0.987242
OVERALL_SCORE: 0.70252
