GT_plane,Matched_solution_plane,score
Plane_16.ts,group_15.ts,0.99594
Plane_11.ts,group_10.ts,0.20596
Plane_5.ts,group_6.ts,0.998206
Plane_21.ts,group_17.ts,0.980832
Plane_4.ts,group_11.ts,9.07467e-17
Plane_18.ts,group_8.ts,0.376866
Plane_19.ts,group_21.ts,0.999118
Plane_20.ts,group_5.ts,0.000335899
Plane_15.ts,group_13.ts,0.997956
Plane_17.ts,group_12.ts,5.0062e-07
Plane_1.ts,group_19.ts,0.997935
Plane_14.ts,group_14.ts,0.995284
Plane_25.ts,group_7.ts,0.992204
Plane_6.ts,group_0.ts,0.98744
Plane_22.ts,group_4.ts,0.798652
Plane_24.ts,group_18.ts,0.959628
Plane_2.ts,group_9.ts,0.210053
Plane_13.ts,group_3.ts,0.428223
Plane_3.ts,group_22.ts,0.994999
Plane_10.ts,group_16.ts,0.961408
Plane_9.ts,group_1.ts,0.0917684
Plane_8.ts,group_20.ts,0.992319
Plane_12.ts,group_2.ts,0.472823
OVERALL_SCORE: 0.748122
